frame,0.7GPa,1GPa,1.3GPa,1.5GPa,2.3GPa,2.4GPa_decomp,3.9GPa,5GPa,6.2GPa,6.6GPa,7.4GPa,8.5GPa,9.8GPa,10.4GPa,12.8GPa,13.3GPa,15.6GPa
0.7GPa,,,,,,,,,,,,,,,,,
1GPa,0.282318,,,,,,,,,,,,,,,,
1.3GPa,0,0,,,,,,,,,,,,,,,
1.5GPa,0,0,,,,,,,,,,,,,,,
2.3GPa,0,0,,,,,,,,,,,,,,,
2.4GPa_decomp,0,0,,,,,,,,,,,,,,,
3.9GPa,0,0,,,,,,,,,,,,,,,
5GPa,0,0,,,,,,,,,,,,,,,
6.2GPa,0,0,,,,,,,,,,,,,,,
6.6GPa,0,0,0,0,0,0,0,0,0,,,,,,,,
7.4GPa,0.0657815,0.233005,0,0,0,0,0,0,0,0,,,,,,,
8.5GPa,0.252809,0.895477,0,0,0,0,0,0,0,0,0.260202,,,,,,
9.8GPa,0,0,,,,,,,,0,0,0,,,,,
10.4GPa,0.811722,0.347801,0,0,0,0,0,0,0,0,0.0810394,0.311448,0,,,,
12.8GPa,0,0,,,,,,,,0,0,0,,0,,,
13.3GPa,0,0,,,,,,,,0,0,0,,0,,,
15.6GPa,0,0,,,,,,,,0,0,0,,0,,,
